EmployeeID,BaseSalary,Bonus,VariablePay
E0000199,1488666,425104,116426
E0000200,831094,638122,248630
E0000201,4444540,332199,319221
E0000202,4328790,36099,160473
E0000203,3834902,576757,212350
E0000204,4774616,61087,305122
E0000205,1824622,658788,128074
E0000206,4964224,250337,130237
E0000207,4751861,617006,291571
E0000208,1921694,33134,468128
E0000209,1120127,277093,324651
E0000210,1306002,735502,379845
E0000211,3855196,141452,444377
E0000212,3353245,404378,70923
E0000213,1161885,22934,200689
E0000214,1250887,784314,267038
E0000215,1857702,134151,181139
E0000216,3626660,735348,237937
E0000217,1016914,88088,25420
E0000218,759959,242261,314709
E0000219,2808196,155507,233143
E0000220,4890365,126557,187182
E0000221,1323939,231329,491663
E0000222,2957085,284481,298926
E0000223,3755481,152049,456358
E0000224,2875686,237151,137244
E0000225,3347401,312026,171212
E0000226,1726886,795229,331186
E0000227,525213,437886,342567
E0000228,3383240,664005,499118
E0000229,2276292,150721,228251
E0000230,3709076,662817,397733
E0000231,4325135,544601,19044
E0000232,3434709,461950,471791
E0000233,3523876,247891,152921
E0000234,4750697,87057,77558
E0000235,3422970,563484,11701
E0000236,4310400,549991,431436
E0000237,949106,246362,262256
E0000238,401406,30603,284676
E0000239,4627853,322928,131858
E0000240,2171157,126498,367960
E0000241,3823811,358699,170128
E0000242,2434038,509102,116044
E0000243,3173493,464885,144348
E0000244,4291385,177041,253080
E0000245,1078591,783565,129686
E0000246,3394400,616951,15267
E0000247,2909234,217890,23928
E0000248,2030026,469841,88396
E0000249,2397815,727968,157136
E0000250,3962417,798855,463098
E0000251,2308157,781504,171081
E0000252,4395282,539042,27859
E0000253,2072867,344830,422811
E0000254,1473632,589659,192988
E0000255,3629813,703198,420812
E0000256,2599001,540425,23442
E0000257,1735554,438088,104803
E0000258,3783955,136686,220752
E0000259,3756292,327093,204233
E0000260,2064249,354421,123542
E0000261,2399860,740054,341269
E0000262,3271906,775148,133112
E0000263,3015109,549659,72689
E0000264,482103,367216,250265
E0000265,3578772,717535,139199
E0000266,3373938,704820,121166
E0000267,4829529,305223,253801
E0000268,4210690,718449,394973
E0000269,4570849,416708,497625
E0000270,4394837,87237,315966
E0000271,1455288,177484,118051
E0000272,4694975,95809,159137
E0000273,886472,316709,246468
E0000274,4000535,588082,203528
E0000275,1970543,409295,303992
E0000276,2741976,52150,353511
E0000277,3784755,434741,377114
E0000278,1485462,186530,247953
E0000279,4752241,789825,103936
E0000280,335124,53982,170718
E0000281,2261645,623869,223950
E0000282,1863686,42354,366203
E0000283,2449803,356627,285314
E0000284,4150107,193118,169604
E0000285,3540269,518687,325461
E0000286,3253882,321010,188472
E0000287,3807937,505973,56562
E0000288,1797396,798603,259038
E0000289,4853383,400156,106547
E0000290,2606281,789785,392723
E0000291,2881409,131547,258410
E0000292,2288117,181481,58720
E0000293,1813040,36892,12810
E0000294,4445819,604709,403215
E0000295,667907,783000,202636
E0000296,1138673,676171,260093
E0000297,981370,552711,367826
E0000298,4181976,721370,148996
E0000299,754969,502464,36379
E0000300,1826572,306563,424678
E0000301,2422086,143686,173105
E0000302,3223282,641069,49711
E0000303,909532,376989,344384
E0000304,888244,444458,108027
E0000305,3203176,794885,46320
E0000306,3719303,767846,238678
E0000307,4329927,624810,396592
E0000308,3697871,262791,266442
E0000309,2370108,137989,465009
E0000310,3057067,542028,474822
E0000311,2787631,29566,171301
E0000312,3515486,575504,55357
E0000313,1462136,207948,258157
E0000314,4484639,672067,104591
E0000315,3704695,313470,493288
E0000316,4537907,209408,266485
E0000317,3755718,287484,379585
E0000318,1228831,53211,146893
E0000319,4225223,537421,434945
E0000320,2773419,606806,137864
E0000321,2964977,644294,29879
E0000322,3873466,472164,107151
E0000323,3880382,607901,399145
E0000324,766104,473453,46536
E0000325,4261593,553796,491870
E0000326,2794661,716199,217288
E0000327,1946828,783491,300288
E0000328,4042194,237613,313084
E0000329,3088997,649175,115764
E0000330,2304243,352590,51161
E0000331,3352741,208934,481601
E0000332,2077039,75942,47060
E0000333,4786548,611193,471900
E0000334,4716101,23802,465848
E0000335,757467,766253,44054
E0000336,4538926,627921,435518
E0000337,4288105,762311,215854
E0000338,2707963,734556,45081
E0000339,2316658,607340,163242
E0000340,1571779,198452,259993
E0000341,1548576,684608,380386
E0000342,3407284,533523,111876
E0000343,3931381,339375,126053
E0000344,2172606,779835,494392
E0000345,2542414,300776,403859
E0000346,1184207,266223,129663
E0000347,4738121,575672,314517
E0000348,1964483,538683,418974
E0000349,1641406,455764,85254
E0000350,1414453,405279,439490
E0000351,2276289,40533,250678
E0000352,4733927,618608,237246
E0000353,3568182,532784,209298
E0000354,3360137,730984,333276
E0000355,1300244,322803,84196
E0000356,1196776,315411,94180
E0000357,2812543,50436,24832
E0000358,1589793,789739,408164
E0000359,3325216,423638,220506
E0000360,2135277,166029,388788
E0000361,3643907,37976,144485
E0000362,4560112,201201,120213
E0000363,2302082,520390,160068
E0000364,1476994,366827,126934
E0000365,4776480,173400,310606
E0000366,3353024,513454,418439
E0000367,3861275,217629,150097
E0000368,4588027,99950,336686
E0000369,3026704,415831,288868
E0000370,2413998,720732,369133
E0000371,950802,526058,280696
E0000372,3725164,45234,486326
E0000373,4254378,694907,353955
E0000374,2280095,727630,301525
E0000375,3629118,198631,478771
E0000376,4616490,709173,285127
E0000377,4159188,243446,358141
E0000378,2066991,88910,107547
E0000379,2022650,282581,394865
E0000380,2055556,401925,352220
E0000381,4431193,735960,36760
E0000382,3312675,168247,348264
E0000383,4955398,613066,248764
E0000384,3149641,545641,497348
E0000385,704329,700686,272817
E0000386,490026,593530,64951
E0000387,3187760,675624,343092
E0000388,1657745,296147,100810
E0000389,2230048,256338,354626
E0000390,1913413,493354,207238
E0000391,3154225,791201,444453
E0000392,3061378,304819,234434
E0000393,334426,324768,109689
E0000394,2620608,478727,268000
E0000395,4651586,546149,123433
E0000396,432149,638114,452933
E0000397,3549200,666599,378473
E0000398,1003874,448737,252095
E0000399,2686453,479946,221154
E0000400,1338485,656884,97811
E0000401,347456,774555,313221
E0000402,3101665,414506,43344
E0000403,599507,162360,349728
E0000404,2401468,362184,402502
E0000405,3720336,789049,324466
E0000406,2921973,670849,311032
E0000407,1778982,796055,276314
E0000408,1821565,601127,121134
E0000409,3275346,21968,482661
E0000410,2033044,603790,408089
E0000411,2784026,508859,391373
E0000412,2480521,241715,261225
E0000413,2363656,258458,485891
E0000414,543884,212624,353072
E0000415,2141934,261917,404414
E0000416,4180166,97084,189074
E0000417,1904186,172504,368137
E0000418,3197543,309266,206401
E0000419,909838,629550,230200
E0000420,1342211,742240,265406
E0000421,4949732,722534,57075
E0000422,3619842,653510,489324
E0000423,1635636,201045,73781
E0000424,4251007,115911,342579
E0000425,1160475,717454,26407
E0000426,1878077,516706,117767
E0000427,4510805,300121,230376
E0000428,4764361,393412,274585
E0000429,3206375,768107,455539
E0000430,3324495,268585,495199
E0000431,1624204,705167,188386
E0000432,1306398,346171,82804
E0000433,3735408,738936,165248
E0000434,2339911,215381,60165
E0000435,4420323,620274,270865
E0000436,3743618,184124,17787
E0000437,2623569,131081,429523
E0000438,4930268,566348,77324
E0000439,4230821,84504,74651
E0000440,3843264,740282,392836
E0000441,4484234,356256,198146
E0000442,2830274,461321,203071
E0000443,2445314,669565,205270
E0000444,1106894,420921,10042
E0000445,765038,554129,364613
E0000446,2783450,674518,430214
E0000447,1362647,278286,310423
E0000448,1850684,726127,275556
E0000449,2367714,295086,360249
E0000450,4829104,89104,289798
E0000451,3756135,709922,58488
E0000452,578893,88452,125746
E0000453,3974757,242521,9880
E0000454,3093792,760823,7320
E0000455,2482313,382187,261500
E0000456,4217164,667487,481354
E0000457,3069271,714438,151747
E0000458,499603,336162,354214
E0000459,1641561,108106,175671
E0000460,357036,565288,472644
E0000461,1208255,547269,92887
E0000462,2578011,66751,455597
E0000463,1800107,594468,174735
E0000464,2406957,226511,204545
E0000465,1390056,714995,402109
E0000466,2640516,74531,483135
E0000467,306223,632833,476842
E0000468,4711509,39441,299535
E0000469,2851721,343914,280614
E0000470,4638690,439880,23711
E0000471,4695554,441143,436060
E0000472,1386886,734919,18268
E0000473,4736106,263702,299084
E0000474,1676749,390158,190996
E0000475,2164732,78607,101710
E0000476,2843808,444941,282309
E0000477,2525900,357918,218669
E0000478,3888447,496738,483149
E0000479,1811810,567216,171382
E0000480,3384303,286840,395264
E0000481,4829351,455508,22726
E0000482,2890245,269371,92389
E0000483,1979267,412811,353704
E0000484,994695,666858,388672
E0000485,665135,563969,395766
E0000486,2815744,664554,222118
E0000487,4627890,280094,82531
E0000488,4530653,545564,305756
E0000489,2824688,728426,179480
E0000490,3684226,791097,496019
E0000491,3737292,523040,193488
E0000492,1054846,666632,272104
E0000493,1468015,171268,406830
E0000494,1205172,224476,272643
E0000495,2052296,240313,223268
E0000496,3704324,441352,86730
E0000497,3712433,338261,355010
E0000498,3088093,789921,63102
E0000499,2248004,114126,476317
E0000500,3891230,393104,408724
E0000501,470694,768620,295809
E0000502,2512371,355104,64283
E0000503,3249549,387624,468527
E0000504,4967192,351982,266994
E0000505,408542,14925,455846
E0000506,4309495,391232,68233
E0000507,944657,160326,288768
E0000508,1923622,108680,20334
E0000509,3291652,489395,366420
E0000510,302571,201016,20975
E0000511,2762579,500581,248308
E0000512,4517913,680971,25750
E0000513,4355222,525825,197676
E0000514,3241047,452819,255585
E0000515,3282906,252587,148057
E0000516,1241863,427353,49198
E0000517,1071074,690104,170038
E0000518,442266,412755,415658
E0000519,3743569,614921,213017
E0000520,1919115,710457,303551
E0000521,4622942,688572,445956
E0000522,3433264,724435,332270
E0000523,2863398,590368,71172
E0000524,3060220,324661,375260
E0000525,4992581,393536,96562
E0000526,957186,651727,66574
E0000527,4525829,533449,368919
E0000528,3766330,506303,85220
E0000529,2171819,642163,344477
E0000530,1706404,566954,476470
E0000531,4869330,340157,26399
E0000532,3366156,198614,73098
E0000533,2335465,570831,226013
E0000534,4089186,322415,262804
E0000535,2534998,118163,441329
E0000536,1466252,69458,174936
E0000537,2635388,181119,355064
E0000538,4303533,565679,6302
E0000539,4218129,439401,176486
E0000540,2239683,436037,112987
E0000541,2091960,135441,136747
E0000542,3551453,590211,481281
E0000543,3750123,373357,262174
E0000544,1421338,125682,453157
E0000545,383952,27209,153082
E0000546,1580281,631957,307355
E0000547,616065,356976,188190
E0000548,387718,153338,441915
E0000549,3678976,14210,24724
E0000550,3799466,425231,281181
E0000551,4153402,322380,271908
E0000552,1334276,482139,256497
E0000553,1515680,452984,457891
E0000554,2523788,57355,158700
E0000555,1384513,778706,372668
E0000556,3908739,437718,140835
E0000557,4610179,83011,492786
E0000558,3678241,46405,452595
E0000559,566508,670952,258098
E0000560,1047285,477749,236103
E0000561,4806240,331965,301492
E0000562,387008,352932,397615
E0000563,2880664,466467,316010
E0000564,3621762,84425,230377
E0000565,1708117,730884,95735
E0000566,2907122,431498,335758
E0000567,1566561,443259,86790
E0000568,4271781,276775,7375
E0000569,2233386,473716,145471
E0000570,970239,559799,169695
E0000571,1597479,548410,40140
E0000572,476667,113120,344183
E0000573,901122,795765,112535
E0000574,3061637,299888,326276
E0000575,1065841,186022,476731
E0000576,2709057,234721,65457
E0000577,1008337,636564,327829
E0000578,2507282,680991,351052
E0000579,1811656,650983,371805
E0000580,1641597,498484,438905
E0000581,4961333,517354,320247
E0000582,2609651,417262,43201
E0000583,2109959,187732,200825
E0000584,1270131,707030,424147
E0000585,3305026,544246,335317
E0000586,1457817,564902,262013
E0000587,3607474,712321,168122
E0000588,3239439,178786,265177
E0000589,1949326,236186,405854
E0000590,2242864,289110,281545
E0000591,4344808,64769,474032
E0000592,3706814,356812,353137
E0000593,4081098,19167,137334
E0000594,1226630,81328,452772
E0000595,909233,558246,352859
E0000596,2500435,230900,262741
E0000597,2700591,220070,275227
E0000598,2849068,563793,431987
E0000599,482595,555044,378495
E0000600,2948293,74604,148884
E0000601,4201179,408352,380649
E0000602,4906230,543354,137100
E0000603,2332782,728262,253563
E0000604,1993378,702528,8262
E0000605,714069,145054,444164
E0000606,914048,662993,38577
E0000607,2807075,293529,68911
E0000608,3961473,67392,162074
E0000609,3014753,13431,227007
E0000610,3768502,59805,453134
E0000611,4983333,661684,53749
E0000612,4582226,59771,221346
E0000613,2803822,103051,122457
E0000614,438826,266447,118622
E0000615,4228604,658384,386459
E0000616,4437223,491380,383854
E0000617,3131295,389998,54397
E0000618,998345,747878,218729
E0000619,1984131,315214,423083
E0000620,1693697,102463,121521
E0000621,3543300,370374,168379
E0000622,823790,251261,191509
E0000623,2007869,228793,73965
E0000624,4732282,710885,185371
E0000625,3614168,779386,425622
E0000626,2813166,220409,341616
E0000627,3347872,49597,380063
E0000628,3778243,283745,399614
E0000629,1233818,416088,65323
E0000630,4479133,512305,188798
E0000631,1404839,259348,96196
E0000632,3810051,445713,296990
E0000633,1024734,141664,477923
E0000634,4899030,327668,259580
E0000635,1057678,761939,181658
E0000636,2977920,208436,429843
E0000637,305609,459005,452271
E0000638,2167823,428430,113395
E0000639,3024872,317272,388397
E0000640,535683,522445,70575
E0000641,3697733,497123,289896
E0000642,4869836,530280,266405
E0000643,2702726,474343,262606
E0000644,2167037,263345,347314
E0000645,1006765,553530,209473
E0000646,2236449,797655,243665
E0000647,4200843,42961,361656
E0000648,1110202,727185,294669
E0000649,3186499,625678,186929
E0000650,2647567,242201,423723
E0000651,2502448,201949,97812
E0000652,3874024,558985,307086
E0000653,1129460,388514,369007
E0000654,2126576,392970,346573
E0000655,4057837,154537,77932
E0000656,2148378,586579,331793
E0000657,4447091,66671,372244
E0000658,3727916,681546,75198
E0000659,3382979,357659,385377
E0000660,4825152,91968,295296
E0000661,4401429,81669,108331
E0000662,4519030,687944,350944
E0000663,4261305,794746,104839
E0000664,3750496,50558,97595
E0000665,3503869,707714,314055
E0000666,2788483,302802,11403
E0000667,2196426,786053,229765
E0000668,4914936,456151,40001
E0000669,4211810,340142,475989
E0000670,2894547,597602,286475
E0000671,2256606,203478,313946
E0000672,845270,204586,375389
E0000673,1124242,653370,164680
E0000674,2111641,51130,178819
E0000675,2010244,327060,162033
E0000676,2231784,212551,415865
E0000677,1347405,350942,467493
E0000678,2101346,613979,450887
E0000679,935423,565458,386243
E0000680,1136936,374561,238276
E0000681,2846430,344406,297077
E0000682,3286172,315577,348078
E0000683,4072477,150375,469885
E0000684,2888741,109216,282675
E0000685,1616118,558879,72923
E0000686,3603641,224357,26216
E0000687,4479702,786266,115339
E0000688,1743895,725255,391064
E0000689,4211115,721931,385493
E0000690,3716629,596863,282150
E0000691,343740,580702,319020
E0000692,3894452,466907,412230
E0000693,814710,24758,460205
E0000694,2942615,77085,117560
E0000695,2321962,200965,261832
E0000696,2326623,62202,219283
E0000697,2128457,278634,7012
E0000698,2987510,423335,26100
E0000699,2910395,144879,420390
E0000700,4216223,279676,248875
E0000701,4669372,89795,35926
E0000702,2262429,322943,163624
E0000703,2602629,283868,262054
E0000704,2379605,96974,473282
E0000705,2973402,424352,445007
E0000706,1236225,523462,320475
E0000707,1046848,183038,11136
E0000708,3826360,777686,192046
E0000709,3684438,393382,43603
E0000710,1273513,35572,227400
E0000711,523421,376772,441928
E0000712,2062757,401819,462218
E0000713,4192170,637800,480871
E0000714,2129278,404173,38511
E0000715,1638065,778790,420687
E0000716,3317563,416192,181856
E0000717,313332,698519,291099
E0000718,4339563,728050,286749
E0000719,886601,786252,381498
E0000720,1941021,710421,291172
E0000721,1627139,480227,5703
E0000722,4567046,138572,55353
E0000723,3012784,141831,299798
E0000724,2510216,614918,355937
E0000725,3887530,705712,449994
E0000726,3880415,780924,107613
E0000727,2249762,200915,461291
E0000728,4419312,325163,123003
E0000729,3174814,312092,476427
E0000730,2835244,249890,250911
E0000731,3100702,724425,131946
E0000732,3449825,725464,374926
E0000733,3992075,539064,305229
E0000734,2999651,245259,350011
E0000735,3404752,710828,94474
E0000736,3336240,555600,208989
E0000737,1408440,739779,373999
E0000738,4482396,121046,8960
E0000739,2182363,214967,281852
E0000740,445485,223568,135976
E0000741,3360016,509035,252069
E0000742,3612569,201719,190193
E0000743,913720,564873,471692
E0000744,3510781,26537,282424
E0000745,594729,724840,156390
E0000746,586193,200913,294650
E0000747,1250001,17967,305532
E0000748,1631726,34279,447285
E0000749,2812258,108908,461008
E0000750,2498876,54564,221913
E0000751,3442419,571107,389179
E0000752,4589608,305206,220579
E0000753,4886190,225237,347076
E0000754,587787,242749,205733
E0000755,2480642,452771,177826
E0000756,4558996,539785,433650
E0000757,4988744,624760,187827
E0000758,3109938,613805,373801
E0000759,1296484,414446,120456
E0000760,2761761,148987,454665
E0000761,2352187,177455,481082
E0000762,1423722,222268,444725
E0000763,4332853,419146,35799
E0000764,1939550,38701,398392
E0000765,4508856,230030,87764
E0000766,3346511,567202,42455
E0000767,1552128,52167,229357
E0000768,2193606,565843,146422
E0000769,1185867,57094,354677
E0000770,3178947,706256,217690
E0000771,3840318,650922,281180
E0000772,4897402,173688,108491
E0000773,3489459,175674,471263
E0000774,2729184,66888,403680
E0000775,1253313,455692,63567
E0000776,1368553,284249,458827
E0000777,3552113,52447,370185
E0000778,1986510,792352,49403
E0000779,3740175,635456,43637
E0000780,3039892,188299,73147
E0000781,4349197,521318,275015
E0000782,439244,696748,25044
E0000783,1252670,477369,73479
E0000784,1228841,714424,396847
E0000785,4096284,324515,129999
E0000786,511144,714203,221229
E0000787,3714793,348663,334090
E0000788,4230333,590704,60287
E0000789,2032108,572010,269797
E0000790,1763376,89968,331615
E0000791,4280359,618164,341942
E0000792,1312201,262384,134518
E0000793,2552517,182649,20403
E0000794,4508524,377910,282335
E0000795,915937,781710,369360
E0000796,4453959,679143,394742
E0000797,4331382,86461,437813
E0000798,2620097,386965,66707
E0000799,1842936,648233,197733
E0000800,3422659,18733,430094
E0000801,2613312,428590,119720
E0000802,4108064,483506,362455
E0000803,4061072,201894,492112
E0000804,3266375,128583,466704
E0000805,1074246,297888,463987
E0000806,3681062,292930,486857
E0000807,524686,79351,97358
E0000808,3583858,667711,428287
E0000809,4970859,267249,54136
E0000810,4691018,56669,250024
E0000811,2203525,101626,383176
E0000812,2198286,379665,106605
E0000813,772466,482777,161518
E0000814,4629248,226447,283825
E0000815,2037473,359719,355460
E0000816,791910,32213,318963
E0000817,3503829,125043,440244
E0000818,708606,295717,175498
E0000819,2306565,589486,285885
E0000820,4817785,208586,494787
E0000821,715020,658530,358004
E0000822,2801093,123235,211747
E0000823,357665,762865,128148
E0000824,3865318,98597,296586
E0000825,3958172,223946,380796
E0000826,2966247,19601,275654
E0000827,1039852,512666,37107
E0000828,4366169,546634,164382
E0000829,4837868,647987,152627
E0000830,1470268,580367,282893
E0000831,4834644,244378,459246
E0000832,692303,147343,333482
E0000833,1080778,238898,463887
E0000834,3991771,619686,478652
E0000835,2553053,449285,76086
E0000836,1957175,771830,178528
E0000837,2102463,491236,314356
E0000838,2959524,798069,462284
E0000839,664879,485278,50987
E0000840,2058719,64463,362727
E0000841,3835960,171850,36601
E0000842,3202941,93680,363352
E0000843,4762489,464960,396410
E0000844,3166802,735801,459190
E0000845,318185,154967,498520
E0000846,1709463,535770,258611
E0000847,655632,115324,396296
E0000848,2627930,238835,383388
E0000849,2281523,255216,303968
E0000850,2472670,335089,477594
E0000851,4864234,347667,209971
E0000852,3487902,105776,85510
E0000853,4899026,290553,76539
E0000854,3315461,50687,266777
E0000855,460350,484133,285094
E0000856,2027687,145193,199770
E0000857,3317430,772201,421398
E0000858,4675295,367754,316376
E0000859,4846608,314992,81196
E0000860,1544930,82386,21456
E0000861,1496710,327109,232233
E0000862,1897594,768929,100615
E0000863,3897288,648019,145796
E0000864,2441500,555952,490171
E0000865,1524380,531442,406388
E0000866,2911691,284166,301643
E0000867,4708239,709886,321897
E0000868,2656894,316538,226971
E0000869,684116,19157,143184
E0000870,3112894,634443,341402
E0000871,3188389,506129,146320
E0000872,2478593,632310,128896
E0000873,4938550,226824,392391
E0000874,2799565,579196,311301
E0000875,2338227,43212,380655
E0000876,1094593,398801,292818
E0000877,555605,308940,115813
E0000878,1808492,160511,354767
E0000879,555430,745541,129206
E0000880,3716322,570080,204317
E0000881,3257353,455275,60960
E0000882,3589682,371305,102584
E0000883,4354588,577818,461071
E0000884,1914594,27806,466467
E0000885,3500105,58025,57620
E0000886,4730832,567245,391074
E0000887,2193264,164831,225234
E0000888,751414,427329,234210
E0000889,1958282,515754,179312
E0000890,2555496,733020,419332
E0000891,4932443,76335,48193
E0000892,3325399,645613,456268
E0000893,3752226,71136,487444
E0000894,1335543,285849,411105
E0000895,2838561,223612,42739
E0000896,2916217,149991,198419
E0000897,1340728,165462,198688
E0000898,4059113,445833,433809
E0000899,3551389,422280,290009
E0000900,1961263,102616,349999
E0000901,1891534,91529,303256
E0000902,3189968,597425,12668
E0000903,2877628,209012,69747
E0000904,1324698,183177,219975
E0000905,963377,438429,44052
E0000906,3582838,173355,487957
E0000907,1979762,755296,330388
E0000908,2234298,154711,172379
E0000909,4494210,714855,258159
E0000910,1879755,476923,136047
E0000911,1123786,313757,486699
E0000912,3361377,388288,318310
E0000913,1802955,794232,417001
E0000914,3208340,684703,53682
E0000915,4985758,386311,153648
E0000916,3978093,541297,115768
E0000917,3503431,298472,419686
E0000918,3594541,702609,318940
E0000919,3946244,178525,404436
E0000920,3245761,592927,209611
E0000921,3040217,637804,299751
E0000922,4256974,137023,111112
E0000923,1796935,445520,244764
E0000924,1472817,768575,282530
E0000925,3704930,154829,346828
E0000926,2081067,759757,174613
E0000927,1121015,679180,235057
E0000928,1730445,778734,184783
E0000929,4916974,384398,17461
E0000930,1912680,512383,485031
E0000931,2992929,288321,389644
E0000932,4560337,368524,248455
E0000933,3472347,734004,94666
E0000934,762591,138404,467391
E0000935,4146105,519621,149962
E0000936,2262182,288712,475861
E0000937,762916,464878,208096
E0000938,2198878,746341,59035
